Date,Open,High,Low,Close ,Adj Close ,Volume
Apr 22 2025,821.88,832.00,814.00,827.54,827.54,3083900
Apr 21 2025,841.51,843.91,807.00,818.02,818.02,3326600
Apr 17 2025,840.80,858.00,821.84,839.96,839.96,10846400
Apr 16 2025,755.64,756.30,730.34,734.90,734.90,3302600
Apr 15 2025,755.57,765.31,751.49,757.18,757.18,2458100
Apr 14 2025,750.45,759.56,734.52,754.35,754.35,3461200
Apr 11 2025,722.89,735.84,711.98,732.41,732.41,3603400
Apr 10 2025,738.90,741.95,691.77,720.91,720.91,4182700
Apr 9 2025,704.40,754.83,689.00,753.71,753.71,6619000
Apr 8 2025,754.98,763.50,713.28,726.24,726.24,4115200
Apr 7 2025,697.93,748.00,677.09,723.73,723.73,6274400
Apr 4 2025,762.11,768.27,734.70,738.21,738.21,5299400
Apr 3 2025,810.51,818.79,787.06,789.09,789.09,2675100
Apr 2 2025,795.04,819.85,795.04,818.22,818.22,2683800
Apr 1 2025,818.60,820.66,797.00,805.23,805.23,2987700
Mar 31 2025,808.98,828.01,789.40,825.91,825.91,3737000
Mar 28 2025,820.00,829.78,817.43,822.51,822.51,2124700
Mar 27 2025,822.82,826.77,815.29,821.67,821.67,2128200
Mar 26 2025,845.69,851.41,826.40,826.76,826.76,2562100
Mar 25 2025,869.55,874.92,847.92,852.35,852.35,2670600
Mar 24 2025,845.32,866.87,837.76,864.90,864.90,3102400
Mar 21 2025,837.80,850.43,825.32,837.57,837.57,5963800
Mar 20 2025,839.03,854.39,832.46,842.57,842.57,4402700
Mar 19 2025,821.72,842.13,819.50,837.01,837.01,3790500
Mar 18 2025,833.42,836.29,812.62,822.51,822.51,2354900
Mar 17 2025,816.95,829.00,814.57,824.76,824.76,2546600
Mar 14 2025,803.11,815.21,800.00,813.48,813.48,3102300
Mar 13 2025,818.24,821.11,795.38,801.65,801.65,3566300
Mar 12 2025,814.95,834.65,813.26,821.86,821.86,3014800
Mar 11 2025,827.20,832.35,811.64,824.06,824.06,3796500
Mar 10 2025,853.91,863.19,825.78,829.76,829.76,5962900
Mar 7 2025,905.39,908.00,861.39,869.58,869.58,4818100
Mar 6 2025,920.42,931.38,898.28,912.76,912.76,3273100
Mar 5 2025,904.80,930.49,901.64,929.72,929.72,3109500
Mar 4 2025,922.24,929.16,902.79,911.06,911.06,3343500
Mar 3 2025,912.80,935.63,910.00,929.72,929.72,3979800
Feb 28 2025,901.84,921.22,892.61,920.63,920.63,4071100
Feb 27 2025,915.72,925.50,904.06,905.16,905.16,3085400
Feb 26 2025,898.37,922.43,896.60,915.01,915.01,3032800
Feb 25 2025,890.74,912.00,890.74,901.80,901.80,5111300
Feb 24 2025,879.29,893.11,870.02,881.40,881.40,3017100
Feb 21 2025,880.62,894.40,873.43,873.68,873.68,3940400
Feb 20 2025,866.84,880.32,864.00,873.12,873.12,2990300
Feb 19 2025,857.18,881.33,857.18,867.05,867.05,3205500
Feb 18 2025,856.42,862.73,851.36,857.20,857.20,4289400
Feb 14 2025,869.10,873.50,841.49,844.27,844.27,3222300
Feb 13 2025,877.07,883.50,867.80,871.86,870.36,2472900
Feb 12 2025,856.93,877.78,856.11,872.97,871.47,2533400
Feb 11 2025,867.03,874.19,860.50,865.00,863.51,1944200
Feb 10 2025,877.73,880.00,859.37,868.88,867.39,3065600
Feb 7 2025,876.53,889.36,869.62,878.31,876.80,4426100
Feb 6 2025,839.52,887.74,835.61,870.37,868.87,7138500
Feb 5 2025,835.15,846.90,831.06,842.18,840.73,4578900
Feb 4 2025,811.05,829.04,805.94,826.07,824.65,4299700
Feb 3 2025,804.27,817.96,801.75,810.43,809.04,2808800
Jan 31 2025,823.00,827.35,811.03,811.08,809.68,2562600
Jan 30 2025,808.41,824.62,805.00,823.23,821.81,2643000
Jan 29 2025,806.99,809.12,799.00,804.08,802.70,1827600
Jan 28 2025,807.24,816.15,800.11,804.99,803.61,2808800
Jan 27 2025,778.71,809.25,778.71,808.17,806.78,3915200
Jan 24 2025,761.95,789.29,760.49,785.41,784.06,4170600
Jan 23 2025,747.66,766.60,744.25,766.60,765.28,3127200
Jan 22 2025,745.58,760.37,739.05,753.98,752.68,3737800
Jan 21 2025,731.27,743.28,726.53,742.35,741.07,5122800
Jan 17 2025,747.83,755.28,725.01,725.72,724.47,5560100
Jan 16 2025,747.50,765.51,746.40,757.60,756.30,3070300
Jan 15 2025,749.00,754.60,735.27,746.74,745.46,5736900
Jan 14 2025,784.23,784.23,729.00,744.91,743.63,10373000
Jan 13 2025,794.40,805.34,783.61,797.48,796.11,3683800
Jan 10 2025,791.93,800.00,784.86,799.90,798.52,3973100
Jan 8 2025,773.83,792.56,770.67,787.22,785.87,3478400
Jan 7 2025,764.90,783.96,761.62,773.29,771.96,3576100
Jan 6 2025,783.72,784.77,763.35,765.10,763.78,3991100
Jan 3 2025,778.17,785.84,775.53,781.98,780.63,1799100
Jan 2 2025,780.59,787.00,771.77,778.07,776.73,1938900
