Date,Open,High,Low,Close,Adj_Close,Volume
Jun 3  2024,447.58,449.84,436.58,439.02,439.02,3 967 700
Jun 4  2024,442.82,450.12,441.59,448.37,448.37,3 183 600
Jun 5  2024,449.19,458.6,448.37,455.8,455.8,3 295 000
Jun 6  2024,457.7,467.85,456.87,458.13,458.13,3 235 000
Jun 7  2024,458.13,468.93,458.13,465.43,465.43,2 684 200
Jun 10  2024,453.84,462.23,451.51,459.94,459.94,3 212 400
Jun 11  2024,456.91,462.74,455.5,462.69,462.69,2 723 700
Jun 12  2024,470.0,471.12,459.16,459.87,459.87,3 647 400
Jun 13  2024,457.87,462.39,453.5,458.74,458.74,8 558 000
Jun 14  2024,530.25,534.45,521.88,525.31,525.31,14 846 600
Jun 17  2024,525.51,525.94,505.38,518.74,518.74,7 163 800
Jun 18  2024,514.71,530.37,513.13,522.25,522.25,4 225 900
Jun 20  2024,527.67,533.23,520.4,522.95,522.95,5 752 400
Jun 21  2024,530.31,535.0,524.72,533.44,533.44,6 614 100
Jun 24  2024,532.1,534.58,523.48,524.17,524.17,3 067 800
Jun 25  2024,526.2,529.68,522.24,526.88,526.88,3 144 200
Jun 26  2024,528.58,530.66,526.01,528.66,528.66,2 931 700
Jun 27  2024,533.21,549.16,532.1,546.76,546.76,4 734 100
Jun 28  2024,549.7,558.48,548.01,555.54,555.54,5 084 500
Jul 1  2024,551.37,561.21,549.73,560.01,560.01,3 070 200
Jul 2  2024,560.0,570.14,560.0,567.71,567.71,3 054 500
Jul 3  2024,564.29,571.83,564.0,570.15,570.15,1 664 400
Jul 5  2024,570.91,580.55,568.92,578.34,578.34,2 808 600
Jul 8  2024,573.18,576.75,563.92,575.4,575.4,3 007 400
Jul 9  2024,573.05,575.01,562.46,566.02,566.02,2 167 600
Jul 10  2024,564.71,566.93,558.21,564.55,564.55,2 368 400
Jul 11  2024,564.0,572.62,557.09,557.63,557.63,3 189 200
Jul 12  2024,555.1,562.49,552.32,559.05,559.05,2 014 000
Jul 15  2024,560.23,568.23,560.23,565.71,565.71,1 887 800
Jul 16  2024,564.6,570.1,562.08,566.54,566.54,1 539 900
Jul 17  2024,563.93,565.0,556.46,563.09,563.09,2 316 300
Jul 18  2024,564.18,564.26,556.07,556.85,556.85,2 184 700
Jul 19  2024,557.05,561.09,548.96,551.0,551.0,2 601 900
Jul 22  2024,558.65,560.19,552.71,554.82,554.82,2 391 700
Jul 23  2024,556.49,557.25,544.44,546.01,546.01,2 363 900
Jul 24  2024,543.8,544.71,530.35,531.04,531.04,2 630 100
Jul 25  2024,536.8,542.28,527.59,532.15,532.15,2 136 500
Jul 26  2024,535.35,545.5,533.33,542.44,542.44,2 090 000
Jul 29  2024,544.3,544.3,535.19,536.61,536.61,1 590 600
Jul 30  2024,541.85,543.67,530.95,538.71,538.71,1 566 900
Jul 31  2024,547.05,555.55,543.77,551.65,551.65,2 776 000
Aug 1  2024,549.99,561.98,540.24,546.41,546.41,2 075 400
Aug 2  2024,535.78,536.84,519.68,526.17,526.17,2 729 100
Aug 5  2024,504.23,515.9,500.0,509.32,509.32,3 432 200
Aug 6  2024,513.69,519.16,509.01,514.2,514.2,2 076 300
Aug 7  2024,520.95,531.01,512.86,513.62,513.62,1 663 700
Aug 8  2024,520.59,531.07,519.56,530.24,530.24,2 155 100
Aug 9  2024,528.02,537.28,528.02,536.3,536.3,1 272 600
Aug 12  2024,536.04,538.08,525.77,530.93,530.93,1 450 300
Aug 13  2024,530.93,537.72,527.9,535.22,535.22,3 063 900
Aug 14  2024,536.62,542.92,533.2,539.79,539.79,1 915 600
Aug 15  2024,545.19,557.22,545.01,554.16,554.16,2 182 400
Aug 16  2024,552.35,554.76,547.8,553.46,553.46,1 541 600
Aug 19  2024,550.59,563.77,550.59,563.12,563.12,1 423 300
Aug 20  2024,564.48,568.18,559.61,562.25,562.25,1 219 600
Aug 21  2024,562.13,566.6,557.91,565.79,565.79,1 401 700
Aug 22  2024,567.07,572.0,555.65,557.44,557.44,1 627 700
Aug 23  2024,565.45,566.52,552.5,558.3,558.3,2 023 500
Aug 26  2024,555.03,560.26,555.03,559.44,559.44,1 387 500
Aug 27  2024,554.4,569.52,554.34,567.82,567.82,1 404 400
Aug 28  2024,568.22,569.59,557.67,560.54,560.54,1 289 700
Aug 29  2024,567.05,578.4,567.05,569.63,569.63,1 955 600
Aug 30  2024,572.2,575.65,568.29,574.41,574.41,1 983 000
Sep 3  2024,576.3,586.7,566.79,571.04,571.04,2 757 900
Sep 4  2024,568.87,578.86,565.76,575.25,575.25,1 615 800
Sep 5  2024,570.75,573.39,562.53,567.93,567.93,1 573 600
Sep 6  2024,570.9,573.31,558.0,563.41,563.41,2 096 800
Sep 9  2024,567.69,574.57,564.44,569.88,569.88,1 997 100
Sep 10  2024,576.75,577.8,567.14,574.48,574.48,2 030 100
Sep 11  2024,573.01,581.24,559.35,580.38,580.38,2 681 000
Sep 12  2024,581.45,587.75,572.98,586.55,586.55,5 605 300
Sep 13  2024,532.57,540.27,526.6,536.87,536.87,10 423 500
Sep 16  2024,537.4,537.69,521.26,521.5,521.5,5 248 200
Sep 17  2024,524.29,527.1,514.58,515.03,515.03,5 164 100
Sep 18  2024,517.01,517.58,506.49,508.13,508.13,3 997 300
Sep 19  2024,518.81,527.48,518.02,526.44,526.44,3 582 500
Sep 20  2024,526.44,528.63,515.72,522.3,522.3,6 100 700
Sep 23  2024,525.71,532.0,524.96,527.87,527.87,2 107 000
Sep 24  2024,527.72,530.3,521.71,524.07,524.07,2 842 100
Sep 25  2024,526.02,526.18,516.24,517.9,517.9,3 211 600
Sep 26  2024,520.51,521.36,512.11,515.38,515.38,3 282 400
Sep 27  2024,516.52,516.68,512.3,515.48,515.48,2 718 300
Sep 30  2024,513.83,518.47,511.74,517.78,517.78,2 587 000
Oct 1  2024,517.45,519.0,502.5,502.8,502.8,3 730 000
Oct 2  2024,503.87,510.19,502.82,505.81,505.81,1 981 600
Oct 3  2024,501.02,509.81,498.59,503.8,503.8,1 921 600
Oct 4  2024,507.29,508.56,503.59,507.22,507.22,1 949 300
Oct 7  2024,503.96,504.87,486.4,487.3,487.3,4 870 500
Oct 8  2024,492.45,500.0,486.4,496.24,496.24,3 551 600
Oct 9  2024,495.88,495.88,492.32,494.08,494.08,2 869 400
Oct 10  2024,490.54,506.45,489.35,503.57,503.57,2 775 100
Oct 11  2024,504.78,507.98,494.9,495.42,495.42,2 992 400
Oct 14  2024,501.8,514.26,500.41,509.65,509.65,3 411 500
Oct 15  2024,513.82,517.77,506.8,508.03,508.03,3 605 700
Oct 16  2024,506.39,506.84,500.25,502.54,502.54,1 859 100
Oct 17  2024,506.51,507.5,495.23,496.83,496.83,2 769 200
Oct 18  2024,491.29,499.0,491.05,494.9,494.9,2 011 100
Oct 21  2024,494.6,500.65,492.96,497.71,497.71,1 679 700
Oct 22  2024,496.43,497.34,488.36,493.11,493.11,2 388 700
Oct 23  2024,492.0,493.83,483.39,485.03,485.03,2 021 300
Oct 24  2024,486.63,488.47,480.06,482.87,482.87,2 100 300
Oct 25  2024,483.42,488.34,482.52,483.72,483.72,2 426 800
Oct 28  2024,487.65,488.49,480.48,481.04,481.04,2 302 300
Oct 29  2024,481.92,487.56,479.33,485.39,485.39,2 089 500
Oct 30  2024,482.24,492.2,482.24,486.68,486.68,2 728 600
Oct 31  2024,486.0,486.05,477.38,478.08,478.08,2 978 700
Nov 1  2024,475.41,485.16,475.05,482.8,482.8,2 851 600
Nov 4  2024,479.03,483.76,477.37,481.35,481.35,1 954 900
Nov 5  2024,483.09,486.66,480.47,486.42,486.42,1 588 100
Nov 6  2024,492.93,506.21,492.93,504.83,504.83,2 969 900
Nov 7  2024,510.66,510.66,495.3,500.92,500.92,2 640 300
Nov 8  2024,503.83,505.0,493.69,494.68,494.68,2 856 900
Nov 11  2024,493.6,507.72,493.6,504.48,504.48,3 536 600
Nov 12  2024,504.39,528.91,504.27,526.42,526.42,4 125 300
Nov 13  2024,523.79,539.92,520.59,532.5,532.5,3 470 200
Nov 14  2024,530.55,534.64,523.46,529.87,529.87,3 098 800
