Date,Open,High,Low,Close,Adj_Close,Volume
Apr 15 2025,181.41,182.35,177.93,179.59,179.59.1,43642000
Apr 23 2024,178.08,179.93,175.98,179.54,179.54,37046500
Apr 24 2024,179.94,180.32,176.18,176.59,176.59,34185100
Apr 25 2024,169.68,173.92,166.32,173.67,173.67,49249400
Apr 26 2024,177.8,180.82,176.13,179.62,179.62,43919800
Apr 29 2024,182.75,183.53,179.39,180.96,180.96,54063900
Apr 30 2024,181.09,182.99,174.8,175.0,175.0,94639800
May 1 2024,181.64,185.15,176.56,179.0,179.0,94645100
May 2 2024,180.85,185.1,179.91,184.72,184.72,54303500
May 3 2024,186.99,187.87,185.42,186.21,186.21,39172000
May 6 2024,186.28,188.75,184.8,188.7,188.7,34725300
May 7 2024,188.92,189.94,187.31,188.76,188.76,34048900
May 8 2024,187.44,188.43,186.39,188.0,188.0,26136400
May 9 2024,188.88,191.7,187.44,189.5,189.5,43368400
May 10 2024,189.16,189.89,186.93,187.48,187.48,34141800
May 13 2024,188.0,188.31,185.36,186.57,186.57,24898600
May 14 2024,183.82,187.72,183.45,187.07,187.07,38698200
May 15 2024,185.97,186.72,182.73,185.99,185.99,75459900
May 16 2024,185.6,187.31,183.46,183.63,183.63,38834500
May 17 2024,183.76,185.3,183.35,184.7,184.7,33175700
May 20 2024,184.34,186.67,183.28,183.54,183.54,30511800
May 21 2024,182.3,183.26,180.75,183.15,183.15,50839100
May 22 2024,183.88,185.22,181.97,183.13,183.13,28148800
May 23 2024,183.66,184.76,180.08,181.05,181.05,33670200
May 24 2024,181.65,182.44,180.3,180.75,180.75,27434100
May 28 2024,179.93,182.24,179.49,182.15,182.15,29927000
May 29 2024,181.7,184.08,181.55,182.02,182.02,32009300
May 30 2024,181.31,181.34,178.36,179.32,179.32,29249200
May 31 2024,178.3,179.21,173.87,176.44,176.44,58903900
Jun 3 2024,177.7,178.7,175.92,178.34,178.34,30786600
Jun 4 2024,177.64,179.82,176.44,179.34,179.34,27198400
Jun 5 2024,180.1,181.5,178.75,181.28,181.28,32116400
Jun 6 2024,181.75,185.0,181.49,185.0,185.0,31371200
Jun 7 2024,184.9,186.29,183.36,184.3,184.3,28021500
Jun 10 2024,184.07,187.23,183.79,187.06,187.06,34494500
Jun 11 2024,187.06,187.77,184.54,187.23,187.23,27265100
Jun 12 2024,188.02,188.35,185.43,186.89,186.89,33984200
Jun 13 2024,186.09,187.67,182.67,183.83,183.83,39721500
Jun 14 2024,183.08,183.72,182.23,183.66,183.66,25456400
Jun 17 2024,182.52,185.0,181.22,184.06,184.06,35601900
Jun 18 2024,183.74,184.29,181.43,182.81,182.81,36659200
Jun 20 2024,182.91,186.51,182.72,186.1,186.1,44726800
Jun 21 2024,187.8,189.28,185.86,189.08,189.08,72931800
Jun 24 2024,189.33,191.0,185.33,185.57,185.57,50610400
Jun 25 2024,186.81,188.84,185.42,186.34,186.34,45898500
Jun 26 2024,186.92,194.8,186.26,193.61,193.61,65103900
Jun 27 2024,195.01,199.84,194.2,197.85,197.85,74397500
Jun 28 2024,197.73,198.85,192.5,193.25,193.25,76930200
Jul 1 2024,193.49,198.3,192.82,197.2,197.2,41192000
Jul 2 2024,197.28,200.43,195.93,200.0,200.0,45600000
Jul 3 2024,199.94,200.03,196.76,197.59,197.59,31597900
Jul 5 2024,198.65,200.55,198.17,200.0,200.0,39858900
Jul 8 2024,200.04,201.2,197.96,199.29,199.29,34767300
Jul 9 2024,199.4,200.57,199.05,199.34,199.34,32700100
Jul 10 2024,200.0,200.11,197.69,199.79,199.79,32883800
Jul 11 2024,200.09,200.27,192.86,195.05,195.05,44565000
Jul 12 2024,194.8,196.47,193.83,194.49,194.49,30598500
Jul 15 2024,194.56,196.19,190.83,192.72,192.72,40683200
Jul 16 2024,195.59,196.62,192.24,193.02,193.02,33994700
Jul 17 2024,191.35,191.58,185.99,187.93,187.93,48076100
Jul 18 2024,189.59,189.68,181.45,183.75,183.75,51043600
Jul 19 2024,181.14,184.93,180.11,183.13,183.13,43081800
Jul 22 2024,185.0,185.06,182.48,182.55,182.55,39931900
Jul 23 2024,184.1,189.39,183.56,186.41,186.41,47537700
Jul 24 2024,183.2,185.45,180.41,180.83,180.83,41532400
Jul 25 2024,182.91,183.9,176.8,179.85,179.85,44464200
Jul 26 2024,180.39,183.19,180.24,182.5,182.5,29506000
Jul 29 2024,183.84,184.75,182.38,183.2,183.2,33270100
Jul 30 2024,184.72,185.86,179.38,181.71,181.71,39508600
Jul 31 2024,185.05,187.94,184.46,186.98,186.98,41667300
Aug 1 2024,189.29,190.6,181.87,184.07,184.07,70435600
Aug 2 2024,166.75,168.77,160.55,167.9,167.9,141448400
Aug 5 2024,154.21,162.96,151.61,161.02,161.02,83149400
Aug 6 2024,161.71,165.08,158.54,161.93,161.93,59950800
Aug 7 2024,166.55,167.58,161.43,162.77,162.77,48408200
Aug 8 2024,165.17,166.69,162.55,165.8,165.8,44616200
Aug 9 2024,166.4,168.55,165.85,166.94,166.94,36401000
Aug 12 2024,168.14,168.55,166.11,166.8,166.8,30072800
Aug 13 2024,167.81,171.04,167.1,170.23,170.23,39237900
