Date,Open,High,Low,Close,Adj_Close,Volume
Apr 23 2024,165.35,167.05,164.92,166.9,166.12,49537800
Apr 24 2024,166.54,169.3,166.21,169.02,168.23,48251800
Apr 25 2024,169.53,170.61,168.15,169.89,169.09,50558300
Apr 26 2024,169.88,171.34,169.18,169.3,168.5,44838400
Apr 29 2024,173.37,176.03,173.1,173.5,172.68,68169400
Apr 30 2024,173.33,174.99,170.0,170.33,169.53,65934800
May 1 2024,169.58,172.71,169.11,169.3,168.5,50383100
May 2 2024,172.51,173.42,170.89,173.03,172.22,94214900
May 3 2024,186.65,187.0,182.66,183.38,182.52,163224100
May 6 2024,182.35,184.2,180.42,181.71,180.86,78569700
May 7 2024,183.45,184.9,181.32,182.4,181.54,77305800
May 8 2024,182.85,183.07,181.45,182.74,181.88,45057100
May 9 2024,182.56,184.66,182.11,184.57,183.7,48983000
May 10 2024,184.9,185.09,182.13,183.05,182.44,50759500
May 13 2024,185.44,187.1,184.62,186.28,185.66,72044800
May 14 2024,187.51,188.3,186.29,187.43,186.8,52393600
May 15 2024,187.91,190.65,187.37,189.72,189.08,70400000
May 16 2024,190.47,191.1,189.66,189.84,189.2,52845200
May 17 2024,189.51,190.81,189.18,189.87,189.23,41282900
May 20 2024,189.33,191.92,189.01,191.04,190.4,44361300
May 21 2024,191.09,192.73,190.92,192.35,191.71,42309400
May 22 2024,192.27,192.82,190.27,190.9,190.26,34648500
May 23 2024,190.98,191.0,186.63,186.88,186.25,51005900
May 24 2024,188.82,190.58,188.04,189.98,189.34,36294600
May 28 2024,191.51,193.0,189.1,189.99,189.35,52280100
May 29 2024,189.61,192.25,189.51,190.29,189.65,53068000
May 30 2024,190.76,192.18,190.63,191.29,190.65,49947900
May 31 2024,191.44,192.57,189.91,192.25,191.61,75158300
Jun 3 2024,192.9,194.99,192.52,194.03,193.38,50080500
Jun 4 2024,194.64,195.32,193.03,194.35,193.7,47471400
Jun 5 2024,195.4,196.9,194.87,195.87,195.21,54156800
Jun 6 2024,195.69,196.5,194.17,194.48,193.83,41181800
Jun 7 2024,194.65,196.94,194.14,196.89,196.23,53103900
Jun 10 2024,196.9,197.3,192.15,193.12,192.47,97262100
Jun 11 2024,193.65,207.16,193.63,207.15,206.46,172373300
Jun 12 2024,207.37,220.2,206.9,213.07,212.36,198134300
Jun 13 2024,214.74,216.75,211.6,214.24,213.52,97862700
Jun 14 2024,213.85,215.17,211.3,212.49,211.78,70122700
Jun 17 2024,213.37,218.95,212.72,216.67,215.94,93728300
Jun 18 2024,217.59,218.63,213.0,214.29,213.57,79943300
Jun 20 2024,213.93,214.24,208.85,209.68,208.98,86172500
Jun 21 2024,210.39,211.89,207.11,207.49,206.79,246421400
Jun 24 2024,207.72,212.7,206.59,208.14,207.44,80727000
Jun 25 2024,209.15,211.38,208.61,209.07,208.37,56713900
Jun 26 2024,211.5,214.86,210.64,213.25,212.54,66213200
Jun 27 2024,214.69,215.74,212.35,214.1,213.38,49772700
Jun 28 2024,215.77,216.07,210.3,210.62,209.91,82542700
Jul 1 2024,212.09,217.51,211.92,216.75,216.02,60402900
Jul 2 2024,216.15,220.38,215.1,220.27,219.53,58046200
Jul 3 2024,220.0,221.55,219.03,221.55,220.81,37369800
Jul 5 2024,221.65,226.45,221.65,226.34,225.58,60412400
Jul 8 2024,227.09,227.85,223.25,227.82,227.06,59085900
Jul 9 2024,227.93,229.4,226.37,228.68,227.91,48076100
Jul 10 2024,229.3,233.08,229.25,232.98,232.2,62627700
Jul 11 2024,231.39,232.39,225.77,227.57,226.81,64710600
Jul 12 2024,228.92,232.64,228.68,230.54,229.77,53046500
Jul 15 2024,236.48,237.23,233.09,234.4,233.61,62631300
Jul 16 2024,235.0,236.27,232.33,234.82,234.03,43234300
Jul 17 2024,229.45,231.46,226.64,228.88,228.11,57345900
Jul 18 2024,230.28,230.44,222.27,224.18,223.43,66034600
Jul 19 2024,224.82,226.8,223.28,224.31,223.56,49151500
Jul 22 2024,227.01,227.78,223.09,223.96,223.21,48201800
Jul 23 2024,224.37,226.94,222.68,225.01,224.26,39960300
Jul 24 2024,224.0,224.8,217.13,218.54,217.81,61777600
Jul 25 2024,218.93,220.85,214.62,217.49,216.76,51391200
Jul 26 2024,218.7,219.49,216.01,217.96,217.23,41601300
Jul 29 2024,216.96,219.3,215.75,218.24,217.51,36311800
Jul 30 2024,219.19,220.33,216.12,218.8,218.07,41643800
Jul 31 2024,221.44,223.82,220.63,222.08,221.34,50036300
Aug 1 2024,224.37,224.48,217.02,218.36,217.63,62501000
Aug 2 2024,219.15,225.6,217.71,219.86,219.12,105568600
Aug 5 2024,199.09,213.5,196.0,209.27,208.57,119548600
Aug 6 2024,205.3,209.99,201.07,207.23,206.54,69660500
Aug 7 2024,206.9,213.64,206.39,209.82,209.12,63516400
Aug 8 2024,213.11,214.2,208.83,213.31,212.6,47161100
Aug 9 2024,212.1,216.78,211.97,216.24,215.52,42201600
Aug 12 2024,216.07,219.51,215.6,217.53,217.05,38028100
Aug 13 2024,219.01,221.89,219.01,221.27,220.78,44155300
Aug 14 2024,220.57,223.03,219.7,221.72,221.23,41960600
Aug 15 2024,224.6,225.35,222.76,224.72,224.23,46414000
Aug 16 2024,223.92,226.83,223.65,226.05,225.55,44340200
Aug 19 2024,225.72,225.99,223.04,225.89,225.39,40687800
Aug 20 2024,225.77,227.17,225.45,226.51,226.01,30299000
Aug 21 2024,226.52,227.98,225.05,226.4,225.9,34765500
Aug 22 2024,227.79,228.34,223.9,224.53,224.04,43695300
Aug 23 2024,225.66,228.22,224.33,226.84,226.34,38677300
Aug 26 2024,226.76,227.28,223.89,227.18,226.68,30602200
Aug 27 2024,226.0,228.85,224.89,228.03,227.53,35934600
Aug 28 2024,227.92,229.86,225.68,226.49,225.99,38052200
Aug 29 2024,230.1,232.92,228.88,229.79,229.29,51906300
Aug 30 2024,230.19,230.4,227.48,229.0,228.5,52990800
Sep 3 2024,228.55,229.0,221.17,222.77,222.28,50190600
Sep 4 2024,221.66,221.78,217.48,220.85,220.37,43840200
Sep 5 2024,221.63,225.48,221.52,222.38,221.89,36615400
Sep 6 2024,223.95,225.24,219.77,220.82,220.34,48423000
Sep 9 2024,220.82,221.27,216.71,220.91,220.42,67180000
Sep 10 2024,218.92,221.48,216.73,220.11,219.63,51591000
Sep 11 2024,221.46,223.09,217.89,222.66,222.17,44587100
Sep 12 2024,222.5,223.55,219.82,222.77,222.28,37498200
Sep 13 2024,223.58,224.04,221.91,222.5,222.01,36766600
Sep 16 2024,216.54,217.22,213.92,216.32,215.84,59357400
Sep 17 2024,215.75,216.9,214.5,216.79,216.31,45519300
Sep 18 2024,217.55,222.71,217.54,220.69,220.21,59894900
Sep 19 2024,224.99,229.82,224.63,228.87,228.37,66781300
Sep 20 2024,229.97,233.09,227.62,228.2,227.7,318679900
Sep 23 2024,227.34,229.45,225.81,226.47,225.97,54146000
Sep 24 2024,228.65,229.35,225.73,227.37,226.87,43556100
Sep 25 2024,224.93,227.29,224.02,226.37,225.87,42308700
Sep 26 2024,227.3,228.5,225.41,227.52,227.02,36636700
Sep 27 2024,228.46,229.52,227.3,227.79,227.29,34026000
