Open,High,Low,Close,Adj_Close 
741.2,746.16,731.44,745.69,740.88
752.64,752.64,728.79,732.2,727.47
725.0,727.99,718.3,724.87,720.19
723.48,737.45,721.0,733.51,728.78
735.75,740.58,729.61,737.2,732.44
775.0,795.5,767.66,781.1,776.06
774.76,782.61,768.25,776.75,771.74
777.34,777.34,754.29,755.91,751.03
743.0,745.0,730.34,734.97,730.23
738.04,766.99,736.0,766.68,761.73
768.9,779.09,762.11,777.77,772.75
779.1,781.35,772.2,775.0,770.0
777.0,784.0,769.2,771.55,766.57
774.02,777.42,760.0,760.0,755.09
763.5,763.55,750.53,757.7,752.81
751.52,764.5,751.52,763.98,759.05
764.15,787.66,763.1,787.02,783.27
784.71,786.48,770.14,771.12,767.45
772.89,774.87,767.1,770.0,766.33
766.9,784.33,766.12,783.18,779.45
792.46,816.61,791.39,803.17,799.35
801.0,804.88,795.25,802.91,799.09
810.0,820.61,802.16,808.45,804.6
808.0,810.12,804.15,807.43,803.59
809.0,809.0,788.25,807.86,804.01
803.0,815.61,802.09,811.53,807.67
812.79,819.99,806.11,815.06,811.18
818.8,826.21,811.1,820.34,816.43
823.83,838.28,818.5,831.26,827.3
834.0,835.47,825.31,832.59,828.63
830.49,838.45,817.62,831.76,827.8
834.88,846.97,831.88,837.29,833.3
837.76,856.81,837.01,849.99,845.94
853.98,871.63,849.39,865.0,860.88
882.14,882.14,852.23,865.82,861.7
872.0,872.0,853.85,867.3,863.17
869.03,885.06,861.5,883.33,879.12
882.33,884.61,876.0,878.45,874.27
878.0,892.2,876.86,885.01,880.8
887.0,894.87,884.0,891.46,887.22
893.0,905.45,870.13,885.99,881.77
885.66,891.97,879.8,883.88,879.67
889.98,903.58,882.94,890.11,885.87
891.77,909.42,891.5,904.61,900.3
904.0,906.35,897.84,901.26,896.97
903.53,909.57,899.72,909.04,904.71
911.31,915.54,905.38,905.38,901.07
911.77,916.83,904.31,914.37,910.02
902.71,912.0,878.5,906.71,902.39
911.0,918.5,884.0,898.1,893.82
898.43,916.46,896.9,914.57,910.22
917.89,928.61,912.0,918.0,913.63
929.05,935.0,920.78,932.5,928.06
936.57,945.69,933.0,939.78,935.31
934.09,942.88,918.62,934.14,929.69
937.0,950.79,936.03,948.4,943.88
956.2,966.1,948.09,950.46,945.93
955.75,956.39,938.38,941.6,937.12
910.01,925.0,902.64,905.59,901.28
907.03,909.87,836.66,848.9,844.86
867.66,880.21,853.0,857.47,853.39
864.8,874.42,856.82,865.97,861.85
870.0,887.72,864.08,878.29,874.11
872.5,878.34,854.27,859.88,855.79
847.0,851.62,806.38,821.19,817.28
811.87,822.01,801.3,804.62,800.79
814.01,824.77,804.0,807.79,803.94
815.18,821.9,775.81,790.21,786.45
800.17,811.14,792.09,804.27,800.44
833.62,840.89,820.18,832.44,828.48
816.67,820.19,787.02,804.46,800.63
758.0,792.94,747.55,775.26,771.57
789.14,806.27,785.0,793.18,789.4
778.3,786.58,763.02,772.14,768.46
875.0,877.78,825.24,845.31,841.28
860.0,908.49,860.0,891.68,887.43
904.21,904.72,883.0,884.38,880.17
894.08,914.69,890.33,908.05,903.73
910.0,934.38,903.79,931.68,927.24
936.0,937.96,920.0,931.58,928.44
928.39,936.3,919.39,922.12,919.01
922.12,926.0,916.5,921.81,918.7
932.1,967.0,930.51,949.97,946.77
955.62,956.5,939.17,951.97,948.76
951.98,972.53,948.14,954.17,950.95
955.44,960.5,943.11,952.74,949.53
949.2,955.0,942.77,950.53,947.33
952.5,972.48,949.95,954.48,951.26
954.15,958.34,943.26,948.94,945.74
955.0,957.52,936.0,940.2,937.03
945.0,961.0,940.51,960.02,956.78
957.77,969.65,951.58,956.53,953.31
949.75,954.0,938.01,946.31,943.12
941.16,943.0,906.17,912.75,909.67
917.76,927.9,893.0,902.71,899.67
