Date,Open,High,Low,Close,Adj_Close,Volume
Jun 3 2024,823.83,838.28,818.5,831.26,825.61,2537200
Jun 4 2024,834.0,835.47,825.31,832.59,826.93,1748300
Jun 5 2024,830.49,838.45,817.62,831.76,826.11,2169000
Jun 6 2024,834.88,846.97,831.88,837.29,831.6,2109000
Jun 7 2024,837.76,856.81,837.01,849.99,844.21,2468800
Jun 10 2024,853.98,871.63,849.39,865.0,859.12,3444500
Jun 11 2024,882.14,882.14,852.23,865.82,859.93,4109100
Jun 12 2024,872.0,872.0,853.85,867.3,861.4,2594600
Jun 13 2024,869.03,885.06,861.5,883.33,877.33,2243400
Jun 14 2024,882.33,884.61,876.0,878.45,872.48,2023300
Jun 17 2024,878.0,892.2,876.86,885.01,878.99,2532200
Jun 18 2024,887.0,894.87,884.0,891.46,885.4,2437000
Jun 20 2024,893.0,905.45,870.13,885.99,879.97,3360000
Jun 21 2024,885.66,891.97,879.8,883.88,877.87,3448700
Jun 24 2024,889.98,903.58,882.94,890.11,884.06,2878200
Jun 25 2024,891.77,909.42,891.5,904.61,898.46,2839800
Jun 26 2024,904.0,906.35,897.84,901.26,895.13,2232100
Jun 27 2024,903.53,909.57,899.72,909.04,902.86,1948100
Jun 28 2024,911.31,915.54,905.38,905.38,899.23,3375400
Jul 1 2024,911.77,916.83,904.31,914.37,908.15,2546100
Jul 2 2024,902.71,912.0,878.5,906.71,900.55,4584600
Jul 3 2024,911.0,918.5,884.0,898.1,892.0,3078400
Jul 5 2024,898.43,916.46,896.9,914.57,908.35,2880900
Jul 8 2024,917.89,928.61,912.0,918.0,911.76,2364600
Jul 9 2024,929.05,935.0,920.78,932.5,926.16,2416000
Jul 10 2024,936.57,945.69,933.0,939.78,933.39,2683300
Jul 11 2024,934.09,942.88,918.62,934.14,927.79,2855100
Jul 12 2024,937.0,950.79,936.03,948.4,941.95,2315100
Jul 15 2024,956.2,966.1,948.09,950.46,944.0,2358700
Jul 16 2024,955.75,956.39,938.38,941.6,935.2,2111800
Jul 17 2024,910.01,925.0,902.64,905.59,899.43,4200600
