Date,Open,High,Low,Close,Adj_Close,Volume
Mar 3 2025,173.73,175.0,167.64,168.66,168.47,24122000
Mar 4 2025,167.94,175.16,167.54,172.61,172.41,30711400
Mar 5 2025,172.32,175.75,170.93,174.99,174.79,18848000
Mar 6 2025,172.55,176.73,172.51,174.21,174.01,19082400
Mar 7 2025,173.24,176.9,172.25,175.75,175.55,16395300
Mar 10 2025,170.16,170.45,165.57,167.81,167.81,28990700
Mar 11 2025,166.68,168.65,163.24,165.98,165.98,23705900
Mar 12 2025,168.47,169.53,165.48,169.0,169.0,19880100
Mar 13 2025,167.98,168.12,164.07,164.73,164.73,15206200
Mar 14 2025,165.32,168.25,164.51,167.62,167.62,18611100
Mar 17 2025,167.32,168.46,165.81,166.57,166.57,17839100
Mar 18 2025,165.96,166.44,158.8,162.67,162.67,24616800
Mar 19 2025,163.91,168.13,163.05,166.28,166.28,24955700
Mar 20 2025,163.82,167.03,163.14,165.05,165.05,19981500
Mar 21 2025,163.38,166.47,163.03,166.25,166.25,29882100
Mar 24 2025,169.26,170.5,167.44,169.93,169.93,18742800
Mar 25 2025,171.18,172.91,170.55,172.79,172.79,13841600
Mar 26 2025,171.3,171.94,166.86,167.14,167.14,22498000
Mar 27 2025,166.71,167.44,163.85,164.08,164.08,21571200
Mar 28 2025,162.36,163.81,155.34,156.06,156.06,34866500
Mar 31 2025,154.81,157.13,152.21,156.23,156.23,33591600
Apr 1 2025,155.3,160.08,155.26,158.88,158.88,20111400
Apr 2 2025,156.96,160.27,156.53,158.86,158.86,17113300
Apr 3 2025,152.84,154.69,152.18,152.63,152.63,28416100
Apr 4 2025,149.9,153.09,147.54,147.74,147.74,39832200
Apr 7 2025,143.39,154.93,142.66,149.24,149.24,47823000
Apr 8 2025,153.57,154.44,145.21,146.58,146.58,35304400
Apr 9 2025,146.33,161.87,145.81,161.06,161.06,46479500
Apr 10 2025,158.76,160.03,152.2,155.37,155.37,35270500
Apr 11 2025,155.59,159.86,155.59,159.4,159.4,22582000
Apr 14 2025,162.31,164.03,159.92,161.47,161.47,18255900
Apr 15 2025,161.57,162.05,157.65,158.68,158.68,15690800
Apr 16 2025,155.47,158.18,153.91,155.5,155.5,16921500
Apr 17 2025,156.61,157.07,150.9,153.36,153.36,19513400
Apr 21 2025,150.96,151.06,148.4,149.86,149.86,16147800
Apr 22 2025,151.07,154.61,150.87,153.9,153.9,15910300
Apr 23 2025,157.91,160.02,156.35,157.72,157.72,18575700
Apr 24 2025,158.52,161.71,158.09,161.47,161.47,30787500
Apr 25 2025,167.1,168.24,163.0,163.85,163.85,35148100
Apr 28 2025,164.26,164.95,160.38,162.42,162.42,20871200
Apr 29 2025,162.04,162.68,159.39,162.06,162.06,15955200
Apr 30 2025,159.86,161.37,157.15,160.89,160.89,20639500
May 1 2025,162.52,163.94,160.93,162.79,162.79,21853000
May 2 2025,164.99,166.45,163.66,165.76,165.76,7206741
